periodo,indice_ipim
2012-01-01,510.26
2012-02-01,515.30
2012-03-01,521.39
2012-04-01,527.29
2012-05-01,532.67
2012-06-01,537.95
2012-07-01,543.17
2012-08-01,548.79
2012-09-01,554.90
2012-10-01,560.64
2012-11-01,566.27
2012-12-01,571.77
2013-01-01,577.58
2013-02-01,583.68
2013-03-01,589.56
2013-04-01,595.22
2013-05-01,602.70
2013-06-01,610.81
2013-07-01,617.73
2013-08-01,624.72
2013-09-01,631.55
2013-10-01,638.75
2013-11-01,646.52
2013-12-01,656.17
2014-01-01,688.67
2014-02-01,723.94
2014-03-01,741.56
2014-04-01,754.31
2014-05-01,768.40
2014-06-01,779.97
2014-07-01,790.47
2014-08-01,803.37
2014-09-01,816.18
2014-10-01,826.18
2014-11-01,833.72
2014-12-01,841.66
2015-01-01,843.35
2015-02-01,845.45
2015-03-01,853.74
2015-04-01,860.10
2015-05-01,872.85
2015-06-01,884.33
2015-07-01,897.04
2015-08-01,909.85
2015-09-01,922.14
2015-10-01,930.69
