proyecto_desc,programa_desc
Actividades Centrales,Actividades Centrales
Acciones de Empleo,Acciones de Empleo
Seguro de Capacitacion y Empleo,Acciones de Empleo
Formulacion y Regulacion de la Politica Laboral,Formulacion y Regulacion de la Politica Laboral
Regularizacion del Trabajo,Regularizacion del Trabajo
Acciones de Capacitacion Laboral,Acciones de Capacitacion Laboral
Sistema Federal de Empleo,Sistema Federal de Empleo
Construccion y Reformas Edilicias en Edificios de las Gerencias de Empleo y Capacitacion Laboral,Sistema Federal de Empleo
"Acciones de Promocion, Proteccion y Cambio Tecnologico","Acciones de Promocion, Proteccion y Cambio Tecnologico"
Acciones de Atencion Ciudadana y Servicios Federales,Acciones de Atencion Ciudadana y Servicios Federales
Asistencia Social,Otras Asistencias Financieras
Fiscalizacion Cumplimiento de la Ley de Riesgos del Trabajo,Fiscalizacion Cumplimiento de la Ley de Riesgos del Trabajo
